Ingredient,Total Quantity,Location Info
Bomb Ash,90.0,Southern Thanalan ( 22.2 / 29.9 )
Clear Glass Lens,30.0,
Cobalt Ore,147.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,36.0,Central Thanalan ( 19.0 / 26.2 )
Darksteel Ore,108.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,9.0,
Fire Cluster,18.0,
Fire Crystal,216.0,
Fire Shard,1050.0,
Gold Ore,108.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Ice Crystal,27.0,
Ice Shard,240.0,
Iron Ore,240.0,Western Thanalan ( 27.2 / 17.4 )
Mythril Ore,198.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,72.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,90.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Peacock Ore,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Wind Cluster,18.0,
Wind Crystal,108.0,
